player_name,ktc_value,ktc_rank,age,fc_value,fc_rank,fc_rank_overall,draft_age,draft_year,pos,rnd,pick,fp_value,rank_diff,value_avg
Lance McCutcheon,357,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Bates,352,449,NA,NA,NA,NA,23,2021,TE,4,124,NA,NA,NA
Matt Breida,347,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miles Boykin,343,451,NA,NA,NA,NA,22,2019,WR,3,93,NA,NA,NA
Brycen Hopkins,343,452,NA,NA,NA,NA,23,2020,TE,4,136,NA,NA,NA
D'Wayne Eskridge,341,453,NA,NA,NA,NA,24,2021,WR,2,56,NA,NA,NA
Salvon Ahmed,338,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P.J. Walker,338,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarvis Landry,337,456,NA,NA,NA,NA,21,2014,WR,2,63,NA,NA,NA
Kellen Mond,326,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trent Sherfield,320,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larry Rountree,313,459,NA,NA,NA,NA,22,2021,RB,6,198,NA,NA,NA
Sincere McCormick,312,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Kolar,299,461,NA,NA,NA,NA,23,2022,TE,4,128,2,NA,NA
Dan Arnold,292,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Proche,292,463,NA,NA,NA,NA,23,2020,WR,6,201,NA,NA,NA
Craig Reynolds,287,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Sample,283,465,NA,NA,NA,NA,23,2019,TE,2,52,NA,NA,NA
Preston Williams,266,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auden Tate,262,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darrell Henderson,255,468,NA,NA,NA,NA,22,2019,RB,3,70,NA,NA,NA
Lil'Jordan Humphrey,244,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Allen,241,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dez Fitzpatrick,240,471,NA,NA,NA,NA,23,2021,WR,4,109,NA,NA,NA
Tre Turner,213,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Carter,207,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Goodwin,204,474,NA,NA,NA,NA,22,2013,WR,3,78,NA,NA,NA
Chris Moore,196,475,NA,NA,NA,NA,23,2016,WR,4,107,NA,NA,NA
Mike Strachan,184,476,NA,NA,NA,NA,24,2021,WR,7,229,NA,NA,NA
Jacob Harris,181,477,NA,NA,NA,NA,24,2021,WR,4,141,NA,NA,NA
Hunter Bryant,180,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colt McCoy,176,479,36.7,263,QB55,349,24,2010,QB,3,85,NA,130,219.5
Teagan Quitoriano,163,480,NA,NA,NA,NA,22,2022,TE,5,170,NA,NA,NA
