player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,
Brock Bowers,5124,3677,54,TE,46,4400.5,4117.74,43,-13.8600000000006,NA,NA,NA,NA,,,,,
Saquon Barkley,5047,3705,57,RB,44,4376,4110.81,44,-6.92999999999938,2018,1,2,HorseWomen of Color,,,,,
Trey McBride,5176,3635,50,TE,48,4405.5,4107.18,45,-3.63000000000011,2022,2,55,The Serle Brothers,,,,,
De'Von Achane,5281,3536,45,RB,51,4408.5,4076.49,46,-30.6900000000001,NA,NA,NA,NA,,,,,
DeVonta Smith,5453,3376,41,WR,55,4414.5,4027.65,47,-48.8399999999997,2021,1,10,Pablo and the Stallions,,,,,
Kyle Pitts,5196,3401,48,TE,54,4298.5,3959.34,48,-68.3100000000004,2021,1,4,Pablo and the Stallions,,,,,
D.J. Moore,5191,3330,49,WR,56,4260.5,3910.83,49,-48.5100000000002,2018,1,24,The Scene Worships Me,,,,,
Tee Higgins,5157,3192,51,WR,61,4174.5,3808.53,50,-102.299999999999,2020,2,33,A Team of Chance,,,,,
DK Metcalf,5048,3198,56,WR,59,4123,3776.52,51,-32.0100000000002,2019,2,64,The Millennium Beer,,,,,
Tank Dell,5219,3112,46,WR,63,4165.5,3776.19,52,-0.330000000000382,NA,NA,NA,NA,,,,,
Mark Andrews,4740,3315,66,TE,57,4027.5,3752.1,53,-24.0899999999997,2018,3,86,HorseWomen of Color,,,,,
Zay Flowers,5125,3083,53,WR,65,4104,3726.03,54,-26.0700000000002,NA,NA,NA,Kissy Boy Jones,,,,,
T.J. Hockenson,4890,3194,58,TE,60,4042,3721.74,55,-4.29000000000042,2019,1,8,JoJos Bizzare Massage,,,,,
Jared Goff,4761,3245,63,QB,58,4003,3712.83,56,-8.9099999999994,2016,1,1,A Team of Chance,,,,,
Dalton Kincaid,4823,3188,60,TE,62,4005.5,3695.67,57,-17.1600000000003,NA,NA,NA,A Team of Chance,,,,,
Jordan Addison,5084,3013,55,WR,67,4048.5,3666.3,58,-29.3699999999999,NA,NA,NA,The Serle Brothers,,,,,
Kenneth Walker III,4742,2963,65,RB,68,3852.5,3520.44,59,-145.86,NA,NA,NA,NA,,,,,
Josh Jacobs,4380,3083,69,RB,66,3731.5,3480.18,60,-40.2600000000002,2019,1,24,Kissy Boy Jones,,,,,
Jaxon Smith-Njigba,4802,2863,62,WR,69,3832.5,3474.24,61,-5.94000000000006,NA,NA,NA,Pablo and the Stallions,,,,,
George Pickens,4753,2849,64,WR,70,3801,3448.83,62,-25.4100000000003,2022,2,52,Howling for Chubb,,,,,
Bryce Young,4369,2789,70,QB,72,3579,3282.51,63,-166.32,NA,NA,NA,Kissy Boy Jones,,,,,
James Cook,4298,2724,73,RB,74,3511,3216.18,64,-66.3299999999999,2022,2,63,A Team of Chance,,,,,
Kirk Cousins,4230,2737,75,QB,73,3483.5,3202.32,65,-13.8600000000001,2012,4,102,JoJos Bizzare Massage,,,,,
Rachaad White,4278,2653,74,RB,79,3465.5,3162.72,66,-39.5999999999999,2022,3,91,The Millennium Beer,,,,,
Brian Thomas Jr.,4169,2699,78,WR,75,3434,3157.11,67,-5.61000000000013,NA,NA,NA,NA,,,,,
J.J. McCarthy,4658,2445,67,QB,88,3551.5,3150.84,68,-6.26999999999998,NA,NA,NA,NA,,,,,
Deebo Samuel,4356,2500,71,WR,87,3428,3087.48,69,-63.3600000000001,2019,2,36,DirtyDan113,,,,,
Stefon Diggs,3914,2663,81,WR,78,3288.5,3049.2,70,-38.2799999999997,2015,5,146,HorseWomen of Color,,,,,
Isiah Pacheco,4086,2567,80,RB,83,3326.5,3042.6,71,-6.59999999999991,2022,7,251,DirtyDan113,,,,,
Deshaun Watson,3815,2695,84,QB,76,3255,3037.65,72,-4.95000000000027,2017,1,12,JoJos Bizzare Massage,,,,,
Baker Mayfield,4092,2534,79,QB,84,3313,3022.8,73,-14.8499999999999,2018,1,1,HorseWomen of Color,,,,,
Rashee Rice,3749,2692,85,WR,77,3220.5,3013.89,74,-8.90999999999985,NA,NA,NA,Howling for Chubb,,,,,
Travis Kelce,3685,2636,86,TE,80,3160.5,2955.81,75,-58.0800000000004,2013,3,63,HorseWomen of Color,,,,,
Davante Adams,3905,2507,82,WR,86,3206,2943.27,76,-12.5399999999995,2014,2,53,The Scene Worships Me,,,,,
Jayden Reed,4340,2261,72,WR,94,3300.5,2924.46,77,-18.8100000000004,NA,NA,NA,The Serle Brothers,,,,,
Mike Evans,3895,2414,83,WR,89,3154.5,2878.59,78,-45.8699999999999,2014,1,7,HorseWomen of Color,,,,,
Will Levis,3637,2340,87,QB,91,2988.5,2744.61,79,-133.98,NA,NA,NA,JoJos Bizzare Massage,,,,,
Justin Fields,3193,2527,112,QB,85,2860,2721.51,80,-23.0999999999999,2021,1,11,Howling for Chubb,,,,,
D'Andre Swift,3547,2137,92,RB,98,2842,2580.93,81,-140.58,2020,2,35,Howling for Chubb,,,,,
Xavier Worthy,3457,2169,97,WR,95,2813,2572.35,82,-8.58000000000038,NA,NA,NA,NA,,,,,
Troy Franklin,3012,2346,130,WR,90,2679,2542.32,83,-30.0299999999997,NA,NA,NA,NA,,,,,
Javonte Williams,3607,2041,88,RB,105,2824,2537.37,84,-4.95000000000027,2021,2,35,The Millennium Beer,,,,,
Derrick Henry,3366,2149,102,RB,97,2757.5,2529.12,85,-8.25,2016,2,45,JoJos Bizzare Massage,,,,,
Cooper Kupp,3547,2013,91,WR,106,2780,2499.09,86,-30.0299999999997,2017,3,69,The Scene Worships Me,,,,,
George Kittle,3320,2118,107,TE,99,2719,2493.48,87,-5.60999999999967,2017,5,146,DirtyDan113,,,,,
Christian Kirk,3497,2008,95,WR,107,2752.5,2479.29,88,-14.1900000000005,2018,2,47,The Millennium Beer,,,,,
Marquise Brown,3552,1936,90,WR,111,2744,2449.92,89,-29.3699999999999,2019,1,25,HorseWomen of Color,,,,,
Adonai Mitchell,3283,2068,109,WR,102,2675.5,2448.27,90,-1.64999999999964,NA,NA,NA,NA,,,,,
