player_name,normalized_ktc,normalized_fc,normalized_fp,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick
Damien Harris,2212,924,864,169,RB,189,1333.3333333333333,1231,149,-0.25,2019,3,87
Brandin Cooks,2381,1011,494,163,WR,176,1295.3333333333333,1224.25,150,-6.75,2014,1,20
Zach Wilson,2081,1091,617,180,QB,166,1263,1220,151,-4.25,2021,1,2
Nico Collins,2384,910,617,162,WR,191,1303.6666666666667,1205.25,152,-14.75,2021,3,89
Tyquan Thornton,2117,709,1235,178,WR,223,1353.6666666666667,1192.5,153,-12.75,2022,2,50
Daniel Bellinger,2529,918,370,154,TE,190,1272.3333333333333,1183.75,154,-8.75,2022,4,112
Rashid Shaheed,2059,747,1111,183,WR,218,1305.6666666666667,1166,155,-17.75,NA,NA,NA
D.J. Chark,2173,847,741,176,WR,200,1253.6666666666667,1152,156,-14,2018,2,61
Tyler Boyd,2428,962,247,158,WR,184,1212.3333333333333,1149.75,157,-2.25,2016,2,55
Tyler Higbee,1670,793,1235,213,TE,209,1232.6666666666667,1122.75,158,-27,2016,4,110
Noah Fant,2185,902,494,173,TE,193,1193.6666666666667,1120.75,159,-2,2019,1,20
Gerald Everett,1830,870,864,201,TE,196,1188,1108.5,160,-12.25,2017,2,44
Michael Thomas,2011,1145,123,189,WR,158,1093,1106,161,-2.5,2016,2,47
Curtis Samuel,2330,817,370,165,WR,206,1172.3333333333333,1083.5,162,-22.5,2017,2,40
Terrace Marshall,2009,768,741,190,WR,215,1172.6666666666667,1071.5,163,-12,NA,NA,NA
D'Onta Foreman,1992,1014,247,191,RB,175,1084.3333333333333,1066.75,164,-4.75,2017,3,89
Khalil Shakir,2172,742,494,177,WR,220,1136,1037.5,165,-29.25,2022,5,148
Isaiah Hodgins,2399,749,247,161,WR,217,1131.6666666666667,1036,166,-1.5,2020,6,207
Michael Gallup,2192,851,247,172,WR,199,1096.6666666666667,1035.25,167,-0.75,2018,3,81
Juwan Johnson,1819,658,988,203,TE,227,1155,1030.75,168,-4.5,NA,NA,NA
Chuba Hubbard,2034,837,247,186,RB,202,1039.3333333333333,988.75,169,-42,2021,4,126
Hunter Renfrow,2223,846,0,167,WR,201,1023,978.75,170,-10,2019,5,149
Zach Ertz,1585,977,370,219,TE,182,977.3333333333334,977.25,171,-1.5,2013,2,35
Cade Otton,2025,798,247,187,TE,208,1023.3333333333334,967,172,-10.25,2022,4,106
Jaylen Warren,2065,768,247,182,RB,214,1026.6666666666667,962,173,-5,NA,NA,NA
K.J. Osborn,2179,791,0,174,WR,210,990,940.25,174,-21.75,2020,5,176
Baker Mayfield,1879,744,370,196,QB,219,997.6666666666666,934.25,175,-6,2018,1,1
Zamir White,2176,780,0,175,RB,212,985.3333333333334,934,176,-0.25,2022,4,122
Tyler Huntley,1784,479,NA,208,QB,243,1131.5,904.8600000000001,177,-29.139999999999873,NA,NA,NA
Rashaad Penny,1819,886,0,204,RB,194,901.6666666666666,897.75,178,-7.110000000000127,2018,1,27
Michael Carter,2047,648,247,184,RB,229,980.6666666666666,897.5,179,-0.25,2021,4,107
Clyde Edwards-Helaire,1905,828,0,194,RB,204,911,890.25,180,-7.25,2020,1,32
Matt Corral,1785,453,NA,207,QB,247,1119,888.0300000000001,181,-2.2199999999999136,NA,NA,NA
David Bell,1854,665,123,199,WR,226,880.6666666666666,826.75,182,-61.280000000000086,2022,3,99
Greg Dortch,1907,285,NA,193,WR,268,1096,817.4100000000001,183,-9.339999999999918,NA,NA,NA
Davis Mills,1480,494,NA,225,QB,240,987,814.44,184,-2.9700000000000273,2021,3,67
Isaiah Spiller,1867,669,0,197,RB,224,845.3333333333334,801.25,185,-13.190000000000055,2022,4,123
Jameis Winston,1867,409,494,198,QB,250,923.3333333333334,794.75,186,-6.5,2015,1,1
Jerome Ford,1391,500,NA,235,RB,239,945.5,789.03,187,-5.720000000000027,2022,5,156
Parris Campbell,1899,516,123,195,WR,238,846,763.5,188,-25.529999999999973,2019,2,59
Samaje Perine,1592,721,0,218,RB,222,771,758.5,189,-5,2017,4,114
Carson Wentz,1085,355,1235,279,QB,256,891.6666666666666,757.5,190,-1,2016,1,2
Jerick McKinnon,1577,725,0,220,RB,221,767.3333333333334,756.75,191,-0.75,2014,3,96
Adam Thielen,1352,772,123,239,WR,213,749,754.75,192,-2,NA,NA,NA
Bailey Zappe,1816,466,247,206,QB,245,843,748.75,193,-6,2022,4,137
Jake Ferguson,1648,632,0,214,TE,230,760,728,194,-20.75,2022,4,129
Mecole Hardman,1844,526,0,200,WR,237,790,724,195,-4,2019,2,56
Gardner Minshew,1301,418,NA,247,QB,249,859.5,705.21,196,-18.789999999999964,NA,NA,NA
Irv Smith Jr.,1755,529,0,210,TE,236,761.3333333333334,703.25,197,-1.9600000000000364,2019,2,50
Devin Duvernay,1437,326,NA,232,WR,259,881.5,689.37,198,-13.879999999999995,2020,3,92
Zonovan Knight,1738,488,0,211,RB,241,742,678.5,199,-10.870000000000005,NA,NA,NA
Jeffery Wilson,1468,553,123,229,RB,235,714.6666666666666,674.25,200,-4.25,NA,NA,NA
