player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,,
Rondale Moore,2370,987,174,WR,195,1678.5,1433.52,157,-6.6,2021,2,49,Howling for Chubb,,,,,,
Romeo Doubs,2521,874,168,WR,211,1697.5,1408.77,158,-24.75,2022,4,132,Kissy Boy Jones,,,,,,
Tyler Allgeier,2329,942,176,RB,201,1635.5,1390.29,159,-18.48,2022,5,151,Howling for Chubb,,,,,,
Odell Beckham,1978,1107,199,WR,176,1542.5,1383.36,160,-6.93,NA,NA,NA,A Team of Chance,,,,,,
Allen Lazard,2209,980,181,WR,196,1594.5,1375.77,161,-7.59,NA,NA,NA,DirtyDan113,,,,,,
Michael Thomas,2037,1059,192,WR,182,1548,1371.15,162,-4.62,2016,2,47,HorseWomen of Color,,,,,,
Ryan Tannehill,1999,1078,196,QB,179,1538.5,1371.15,163,0,2012,1,8,The Scene Worships Me,,,,,,
Chase Claypool,2210,969,180,WR,198,1589.5,1368.84,164,-2.31,2020,2,49,The Scene Worships Me,,,,,,
Baker Mayfield,2035,999,193,QB,192,1517,1330.89,165,-37.95,2018,1,1,HorseWomen of Color,,,,,,
Nico Collins,2177,910,183,WR,205,1543.5,1319.01,166,-11.88,2021,3,89,A Team of Chance,,,,,,
Damien Harris,2129,920,187,RB,204,1524.5,1309.77,167,-9.24,2019,3,87,A Team of Chance,,,,,,
Isaiah Likely,2386,781,173,TE,226,1583.5,1302.84,168,-6.93,2022,4,139,HorseWomen of Color,,,,,,
Rashaad Penny,2211,859,179,RB,213,1535,1296.57,169,-6.27,2018,1,27,DirtyDan113,,,,,,
Kayshon Boutte,1935,993,206,WR,193,1464,1293.93,170,-2.64,NA,NA,NA,A Team of Chance,,,,,,
Devin Singletary,1912,987,208,RB,194,1449.5,1282.38,171,-11.55,2019,3,74,JoJos Bizzare Massage,,,,,,
Chase Brown,2199,831,182,RB,219,1515,1274.13,172,-8.25,NA,NA,NA,HorseWomen of Color,,,,,,
Cedric Tillman,2136,832,186,WR,218,1484,1254,173,-20.13,NA,NA,NA,The Serle Brothers,,,,,,
Samaje Perine,2024,876,194,RB,210,1450,1246.08,174,-7.92,2017,4,114,The Serle Brothers,,,,,,
Tyler Boyd,2109,833,189,WR,217,1471,1245.75,175,-0.33,2016,2,55,Kissy Boy Jones,,,,,,
D.J. Chark,2145,805,184,WR,223,1475,1239.15,176,-6.6,2018,2,61,Pablo and the Stallions,,,,,,
Israel Abanikanda,1929,909,207,RB,206,1419,1236.51,177,-2.64,NA,NA,NA,HorseWomen of Color,,,,,,
Irv Smith Jr.,2142,782,185,TE,225,1462,1222.98,178,-13.53,2019,2,50,Pablo and the Stallions,,,,,,
Zach Evans,2120,727,188,RB,233,1423.5,1179.42,179,-43.56,NA,NA,NA,The Serle Brothers,,,,,,
Donovan Peoples-Jones,2079,720,190,WR,236,1399.5,1161.27,180,-18.15,2020,6,187,Kissy Boy Jones,,,,,,
D'Onta Foreman,1883,818,214,RB,221,1350.5,1161.27,181,0,2017,3,89,A Team of Chance,,,,,,
Kenneth Gainwell,2022,722,195,RB,235,1372,1143.78,182,-17.49,2021,5,150,The Millennium Beer,,,,,,
Ezekiel Elliott,1655,905,231,RB,207,1280,1143.45,183,-0.33,2016,1,4,DirtyDan113,,,,,,
Adam Thielen,1738,850,225,WR,214,1294,1134.54,184,-8.91,NA,NA,NA,A Team of Chance,,,,,,
Clyde Edwards-Helaire,1737,823,226,RB,220,1280,1116.39,185,-18.15,2020,1,32,Pablo and the Stallions,,,,,,
Deuce Vaughn,1835,759,217,RB,228,1297,1106.49,186,-9.9,NA,NA,NA,The Millennium Beer,,,,,,
Juwan Johnson,1869,740,215,TE,232,1304.5,1105.17,187,-1.32,NA,NA,NA,A Team of Chance,,,,,,
Mike Gesicki,1811,765,219,TE,227,1288,1102.53,188,-2.64,2018,2,42,Pablo and the Stallions,,,,,,
Dawson Knox,1999,647,197,TE,241,1323,1086.69,189,-15.84,2019,3,96,Pablo and the Stallions,,,,,,
Kareem Hunt,1533,845,243,RB,215,1189,1063.59,190,-23.1,2017,3,86,JoJos Bizzare Massage,,,,,,
Michael Gallup,1901,641,211,WR,242,1271,1050.39,191,-13.2,2018,3,81,HorseWomen of Color,,,,,,
Darnell Washington,1941,607,205,TE,246,1274,1041.15,192,-9.24,NA,NA,NA,NA,,,,,,
Jelani Woods,1660,747,230,TE,231,1203.5,1040.82,193,-0.33,2022,3,73,The Millennium Beer,,,,,,
Noah Fant,1956,595,204,TE,250,1275.5,1038.18,194,-2.64,2019,1,20,DirtyDan113,,,,,,
Rashid Shaheed,1964,583,202,WR,253,1273.5,1032.9,195,-5.28,NA,NA,NA,The Millennium Beer,,,,,,
Hunter Renfrow,1909,597,209,WR,249,1253,1023.99,196,-8.91,2019,5,149,Howling for Chubb,,,,,,
Tyler Higbee,1304,889,266,TE,209,1096.5,1017.06,197,-6.93,2016,4,110,Kissy Boy Jones,,,,,,
Jaylen Warren,1866,607,216,RB,247,1236.5,1016.4,198,-0.66,NA,NA,NA,The Serle Brothers,,,,,,
Khalil Shakir,1889,565,213,WR,257,1227,996.27,199,-20.13,2022,5,148,The Millennium Beer,,,,,,
Cade Otton,1724,631,227,TE,244,1177.5,985.38,200,-10.89,2022,4,106,The Millennium Beer,,,,,,
Curtis Samuel,1905,539,210,WR,265,1222,984.39,201,-0.99,2017,2,40,The Scene Worships Me,,,,,,
Tyquan Thornton,1777,600,221,WR,248,1188.5,982.41,202,-1.98,2022,2,50,The Serle Brothers,,,,,,
Terrace Marshall,1761,594,222,WR,252,1177.5,973.17,203,-9.24,NA,NA,NA,Kissy Boy Jones,,,,,,
Chuba Hubbard,1598,640,238,RB,243,1119,949.74,204,-23.43,2021,4,126,JoJos Bizzare Massage,,,,,,
Gerald Everett,1495,687,247,TE,238,1091,946.77,205,-2.97,2017,2,44,A Team of Chance,,,,,,
Sean Tucker,1405,726,256,RB,234,1065.5,942.81,206,-3.96,NA,NA,NA,Pablo and the Stallions,,,,,,
K.J. Osborn,1790,523,220,WR,269,1156.5,935.88,207,-6.93,2020,5,176,The Scene Worships Me,,,,,,
Jerick McKinnon,1511,658,244,RB,239,1084.5,932.91,208,-2.97,2014,3,96,The Scene Worships Me,,,,,,
Jerome Ford,1638,569,235,RB,256,1103.5,916.08,209,-16.83,2022,5,156,The Scene Worships Me,,,,,,
Daniel Bellinger,1748,514,223,TE,271,1131,916.08,210,-1.14E-13,2022,4,112,NA,,,,,,
Isaiah Hodgins,1891,425,212,WR,282,1158,904.53,211,-11.55,2020,6,207,The Scene Worships Me,,,,,,
DeWayne McBride,1671,534,229,RB,267,1102.5,903.87,212,-0.66,NA,NA,NA,Pablo and the Stallions,,,,,,
Zamir White,1648,538,232,RB,266,1093,898.92,213,-4.95,2022,4,122,HorseWomen of Color,,,,,,
Michael Carter,1616,553,237,RB,260,1084.5,898.26,214,-0.66,2021,4,107,Kissy Boy Jones,,,,,,
Zay Jones,1740,486,224,WR,276,1113,894.96,215,-3.3,2017,2,37,DirtyDan113,,,,,,
Hayden Hurst,1387,648,257,TE,240,1017.5,885.39,216,-9.57,2018,1,25,DirtyDan113,,,,,,
Sam Darnold,1504,573,246,QB,255,1038.5,874.5,217,-10.89,2018,1,3,The Serle Brothers,,,,,,
Josh Palmer,1833,406,218,WR,283,1119.5,872.85,218,-1.65,2021,3,77,The Millennium Beer,,,,,,
Xavier Hutchinson,1587,509,240,WR,273,1048,859.65,219,-13.2,NA,NA,NA,NA,,,,,,
Jake Ferguson,1558,513,242,TE,272,1035.5,852.72,220,-6.93,2022,4,129,JoJos Bizzare Massage,,,,,,
