player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name
Jaxon Smith-Njigba,5855,3559,27,WR,38,4707,4281.09,31,-4.289999999999964,NA,NA,NA,Pablo and the Stallions
Jonathan Taylor,5716,3494,32,RB,41,4605,4192.32,32,-88.77000000000044,2020,2,41,The Millennium Beer
Kyle Pitts,5632,3465,34,TE,42,4548.5,4145.46,33,-46.85999999999967,2021,1,4,Pablo and the Stallions
Tee Higgins,5765,3367,29,WR,45,4566,4124.67,34,-20.789999999999964,2020,2,33,A Team of Chance
Cooper Kupp,5309,3582,42,WR,36,4445.5,4116.09,35,-8.579999999999927,2017,3,69,The Scene Worships Me
Tua Tagovailoa,5414,3529,39,QB,39,4471.5,4115.76,36,-0.32999999999992724,2020,1,5,The Millennium Beer
C.J. Stroud,5299,3503,43,QB,40,4401,4060.65,37,-55.11000000000013,NA,NA,NA,Howling for Chubb
Austin Ekeler,4955,3617,49,RB,34,4286,4022.37,38,-38.279999999999745,NA,NA,NA,DirtyDan113
Nick Chubb,5465,3331,38,RB,46,4398,4001.91,39,-20.46000000000049,2018,2,35,Howling for Chubb
Dak Prescott,4871,3562,54,QB,37,4216.5,3958.35,40,-43.55999999999949,2016,4,135,DirtyDan113
Drake London,5730,3125,31,WR,48,4427.5,3953.4,41,-4.950000000000273,2022,1,8,A Team of Chance
DK Metcalf,5552,3130,37,WR,47,4341,3897.96,42,-55.440000000000055,2019,2,64,The Millennium Beer
Davante Adams,4912,3411,51,WR,43,4161.5,3872.22,43,-25.73999999999978,2014,2,53,The Scene Worships Me
Travis Etienne,5174,3004,44,RB,51,4089,3690.06,44,-182.15999999999983,2021,1,25,JoJos Bizzare Massage
Tony Pollard,5117,3004,45,RB,52,4060.5,3671.25,45,-18.8100000000004,2019,4,128,The Scene Worships Me
Daniel Jones,4906,3005,52,QB,50,3955.5,3602.28,46,-68.9699999999998,2019,1,6,Pablo and the Stallions
Josh Jacobs,5094,2857,46,RB,54,3975.5,3566.6400000000003,47,-35.63999999999987,2019,1,24,Kissy Boy Jones
Kenneth Walker,4989,2878,48,RB,53,3933.5,3545.8500000000004,48,-20.789999999999964,2022,2,41,DirtyDan113
